reference,reader,protocol,seed,comparison,metric,candidate_error,control_error,signed_candidate_minus_control,difference_percentage_points,relative_error_reduction
old,coarse,shorter,43,D_E_vs_F,EV,0.001010674376087227,0.004585264153895475,-0.003574589777808248,,0.7795820824785864
old,coarse,shorter,43,D_E_vs_F,EI,0.006344564455702311,0.029917345965851373,-0.023572781510149063,-2.3572781510149063,0.7879302374300113
old,coarse,shorter,43,D_E_vs_F,bottom_current_NRMSE,0.006344564455700387,0.029917345965852445,-0.023572781510152057,-2.3572781510152057,0.7879302374300832
old,coarse,shorter,43,D_E_vs_F,power_trace_NRMSE,0.006127244448712128,0.03094686326770039,-0.024819618818988264,-2.4819618818988265,0.8020075768031972
old,coarse,shorter,43,D_E_vs_F,energy_error,0.0007076818925486962,0.002573604184872598,-0.0018659222923239015,-0.18659222923239016,0.7250230254098965
old,coarse,shorter,43,D_E_vs_F,local_joule_NRMSE,0.047444145863793204,0.14365656952342049,-0.09621242365962729,,0.6697391144645263
old,coarse,shorter,43,D_E_vs_B_E,S,0.0010828125,0.0015754687500000003,-0.0004926562500000003,,0.3127045522166023
old,coarse,shorter,43,D_E_vs_B_E,Ephi,0.0185697479002711,0.02552352964250399,-0.006953781742232892,,0.27244592889898944
old,coarse,shorter,43,D_E_vs_B_E,ET,0.010868800491784725,0.012800189053165364,-0.001931388561380639,-0.19313885613806392,0.15088750278286125
old,coarse,shorter,43,D_E_vs_B_E,EV,0.001010674376087227,0.003005663306483679,-0.001994988930396452,,0.6637433161901246
old,coarse,shorter,43,D_E_vs_B_E,EI,0.006344564455702311,0.020031855675185353,-0.013687291219483042,-1.3687291219483042,0.6832762496605994
old,coarse,shorter,43,D_E_vs_B_E,bottom_current_NRMSE,0.006344564455700387,0.020031855675185704,-0.013687291219485316,-1.3687291219485316,0.683276249660701
old,coarse,shorter,43,D_E_vs_B_E,power_trace_NRMSE,0.006127244448712128,0.020489387231699213,-0.014362142782987086,-1.4362142782987086,0.7009552125974444
old,coarse,shorter,43,D_E_vs_B_E,energy_error,0.0007076818925486962,0.015059309720727837,-0.01435162782817914,-1.435162782817914,0.9530070165450789
old,coarse,shorter,43,D_E_vs_B_E,local_joule_NRMSE,0.047444145863793204,0.1133849836004611,-0.0659408377366679,,0.5815658797378856
old,fine,original,29,E_vs_F,S,0.001030078125,0.001225,-0.000194921875,,0.1591198979591837
old,fine,original,29,E_vs_F,Ephi,0.020042062839986767,0.023986713579712493,-0.003944650739725726,,0.16445148797132578
old,fine,original,29,E_vs_F,ET,0.010600719518901736,0.010930770446400033,-0.00033005092749829705,-0.033005092749829705,0.03019466277484556
old,fine,original,29,E_vs_F,EV,0.001380786940585424,0.002639409276793822,-0.001258622336208398,,0.4768575860039745
old,fine,original,29,E_vs_F,EI,0.009075323065351125,0.017075570072470302,-0.008000247007119177,-0.8000247007119177,0.4685200536887136
old,fine,original,29,E_vs_F,bottom_current_NRMSE,0.009075323065352796,0.017075570072470646,-0.00800024700711785,-0.800024700711785,0.4685200536886264
old,fine,original,29,E_vs_F,power_trace_NRMSE,0.00916386824303848,0.017498091086127942,-0.008334222843089462,-0.8334222843089462,0.4762932597657255
